"用户信息_学段","用户信息_学科","课程信息_年级","教师行为_板书时长","教师行为_讲授时长","教师行为_巡视时长","教师行为_课件操作时长","教师行为_师生对话时长","教师行为_观察时长","学生行为_读写时长","学生行为_举手时长","学生行为_听讲时长","学生行为_生生互动时长","学生行为_应答时长","学生行为_上台展示时长","教学场景_知识讲解时长","教学场景_作业练习时长","教学场景_汇报展示时长","教学场景_小组学习时长","教学场景_师生对话时长","教学场景_知识讲解个数","教学场景_作业练习个数","教学场景_汇报展示个数","教学场景_小组学习个数","教学场景_师生对话个数","教学场景_知识讲解占比","教学场景_作业练习占比","教学场景_汇报展示占比","教学场景_小组学习占比","教学场景_师生对话占比","参与度_总参与度","参与度_知识讲解","参与度_作业练习","参与度_汇报展示","参与度_小组学习","参与度_师生对话","一致性_总一致性","一致性_知识讲解","一致性_作业练习","一致性_汇报展示","一致性_小组学习","一致性_师生对话","抬头率_总抬头率","抬头率_知识讲解","抬头率_作业练习","抬头率_汇报展示","抬头率_小组学习","抬头率_师生对话","活跃度_总活跃度","活跃度_知识讲解","活跃度_作业练习","活跃度_汇报展示","活跃度_小组学习","活跃度_师生对话","知识讲解场景_话语讲授时长","知识讲解场景_板书时长","知识讲解场景_课件操作时长","知识讲解场景_互动时长","知识讲解场景_停顿时长","知识讲解场景_话语讲授占比","知识讲解场景_板书占比","知识讲解场景_课件操作占比","知识讲解场景_互动占比","知识讲解场景_停顿占比","知识讲解场景_平均语速分钟个数","知识讲解场景_最低语速分钟个数","知识讲解场景_最高语速分钟个数","知识讲解场景_口头禅个数","知识讲解场景_口头禅总次数","知识讲解场景_巡视时长(分钟)","知识讲解场景_巡视次数","知识讲解场景_巡视位置是否均衡","师生对话场景_老师话语时长","师生对话场景_学生直接应答时长","师生对话场景_学生站立应答时长","师生对话场景_齐答时长","师生对话场景_沉寂混乱时长","师生对话场景_老师话语占比","师生对话场景_学生直接应答占比","师生对话场景_学生站立应答占比","师生对话场景_齐答占比","师生对话场景_沉寂混乱占比","全课堂_师生对话次数","全课堂_短应答次数","全课堂_长应答次数","全课堂_齐答次数","全课堂_声音过低次数","全课堂_短应答占比","全课堂_长应答占比","全课堂_齐答占比","全课堂_声音过低占比","全课堂_应答时长<1秒次数","全课堂_应答时长1-2秒次数","全课堂_应答时长2-3秒次数","全课堂_应答时长3-4秒次数","全课堂_应答时长>4秒次数","全课堂_举手次数","全课堂_举手人次","全课堂_1人举手次数","全课堂_2-3人举手次数","全课堂_4-6人举手次数","全课堂_7-10人举手次数","全课堂_>10人举手次数","全课堂_站立应答次数","全课堂_站立应答分布是否均衡","课堂问题_总个数","课堂问题_是何问题个数","课堂问题_为何问题个数","课堂问题_如何问题个数","课堂问题_若何问题个数","课堂问题_其他问题个数","课堂问题_是何问题占比","课堂问题_为何问题占比","课堂问题_如何问题占比","课堂问题_若何问题占比","课堂问题_其他问题占比","ST分析_是否有长达2以上的学生主导时间","ST分析_是否有长达1以上的老师主导时间","ST分析_Rt值是否在0.35~0.6之间","ST分析_Ch值是否在0.3~0.5之间","ST分析_教师占有率","ST分析_学生占有率","ST分析_师生行为转换率"
"初中","数学","初一",231,1371,224,82,327,0,35,272,2195,253,48,0,1612,323,0,253,327,25,4,0,6,19,64.0,12.8,0,10.0,13.0,73.8,70.1,79.1,0,95.0,70.5,54.1,50.5,72.6,0,60.3,49.0,63.8,68.1,43.8,0,56.1,68.2,26.9,26.0,28.6,0,31.1,26.2,1314,136,82,53,349,71.5,8.4,5.1,3.3,21.6,292,166,540,2,61,3,18,0,79,40,7,1,200,24.2,12.2,2.1,0.3,61.2,9,3,3,0,3,33.3,33.3,0.0,33.3,0,3,1,2,0,5,0,2,1,1,1,0,5,1,77,35,2,3,0,37,46,3,4,0,48,0,0,0,0,0.62,0.38,0.17
"初中","数学","初一",239,773,324,69,704,0,68,44,2083,276,117,0,1041,497,0,276,704,34,11,0,8,36,41.3,19.7,0,11.0,27.9,71.1,68.6,64.8,0,94.1,70.4,51.5,50.5,52.5,0,52.4,52.0,64.1,62.5,64.6,0,64.0,66.1,31.8,26.7,35.8,0,45.7,30.9,715,68,69,86,261,61.1,6.5,6.6,8.3,25.1,270,127,510,2,47,5,24,0,256,96,11,10,331,36.4,13.6,1.6,1.4,47.0,28,13,4,4,7,46.4,14.3,14.3,25.0,5,8,3,1,0,6,0,6,0,0,0,0,9,1,100,70,1,11,2,16,70,1,11,2,16,0,0,1,0,0.49,0.51,0.28
"初中","英语","初一",0,500,488,0,27,0,4,0,2456,47,3,0,572,1865,0,47,27,6,6,0,1,2,22.7,74.0,0,1.9,1.1,79.1,67.0,83.0,0,78.6,70.3,74.0,65.5,76.7,0,76.8,58.0,26.5,29.4,26.1,0,6.4,21.0,22.3,24.7,21.8,0,11.7,24.9,500,0,0,23,49,87.4,0.0,0.0,4.0,8.6,411,180,990,1,41,8,25,0,11,2,0,1,13,40.7,7.4,0.0,3.7,48.1,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,0,0,3,63,0,0,0,38,1,0,0,0,0.22,0.78,0.06
"初中","英语","初一",120,1284,608,165,577,0,120,11,2147,59,206,0,1515,364,0,59,577,22,21,0,2,24,60.1,14.4,0,2.3,22.9,68.1,68.4,66.1,0,82.4,67.3,54.0,51.1,55.3,0,58.4,60.3,51.2,54.7,56.9,0,33.8,40.2,26.2,26.4,29.4,0,22.0,24.1,1230,74,165,96,320,69.0,4.9,10.9,6.3,21.1,526,180,1740,2,41,10,37,1,76,183,22,1,295,13.2,31.7,3.8,0.2,51.1,9,4,3,0,2,44.4,33.3,0.0,22.2,2,2,1,1,1,2,0,2,0,0,0,0,9,0,61,23,3,4,0,31,38,5,7,0,51,0,0,0,0,0.61,0.39,0.17
"初中","语文","初一",128,628,168,46,343,0,56,32,2245,99,112,0,708,1365,0,99,343,14,8,0,5,15,28.1,54.2,0,3.9,13.6,80.9,69.4,89.3,0,87.1,69.6,71.1,52.9,83.7,0,58.8,62.3,45.3,75.9,25.6,0,54.6,57.5,23.2,25.1,19.5,0,35.8,29.8,612,17,46,21,106,79.8,2.4,6.5,3.0,15.0,287,160,480,3,27,2,6,0,40,72,0,40,191,11.7,21.0,0.0,11.7,55.7,3,1,2,0,0,33.3,66.7,0.0,0.0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,28,15,1,0,0,12,54,4,0,0,43,1,0,0,0,0.29,0.71,0.12
"初中","数学","初四",516,840,496,2,427,0,34,0,2284,148,81,0,1053,887,0,148,427,28,12,0,5,26,41.8,35.2,0,5.9,16.9,73.5,69.1,76.1,0,93.6,71.8,62.9,60.2,68.9,0,53.8,60.1,55.2,63.3,39.1,0,80.8,59.9,25.2,20.8,31.4,0,22.3,24.2,760,268,2,96,307,54.1,25.5,0.2,9.1,29.2,247,150,480,3,100,8,32,1,165,64,11,6,181,38.6,15.0,2.6,1.4,42.4,13,6,1,0,6,46.2,7.7,0.0,46.2,0,6,0,0,1,0,0,0,0,0,0,0,7,0,63,33,1,1,0,28,52,2,2,0,44,0,0,1,0,0.49,0.51,0.24
"初中","数学","初一",359,808,124,0,887,0,88,40,2186,79,220,0,1039,506,0,79,887,25,14,0,3,33,41.2,20.1,0,3.1,35.2,70.8,68.9,74.1,0,95.4,69.1,56.0,53.0,66.8,0,43.9,54.3,49.4,56.1,32.7,0,33.2,52.5,25.4,21.1,26.5,0,82.7,24.7,756,181,0,122,238,60.3,17.4,0.0,11.7,22.9,336,160,900,3,132,2,17,0,293,174,39,7,374,33.0,19.6,4.4,0.8,42.2,29,11,9,4,5,37.9,31.0,13.8,17.2,7,4,6,1,2,6,0,6,0,0,0,0,11,0,118,63,7,8,1,39,53,6,7,1,33,0,0,1,0,0.52,0.48,0.3
"初中","数学","初一",549,785,220,27,629,0,44,29,1911,499,64,0,935,429,0,499,629,30,5,0,18,29,37.1,17.0,0,19.8,25.0,75.7,72.0,69.0,0,93.5,71.5,56.5,55.9,62.0,0,55.9,54.2,69.3,73.7,54.7,0,66.4,74.9,25.5,21.6,28.0,0,35.1,22.0,742,159,27,41,252,64.1,17.0,2.9,4.4,27.0,273,96,510,3,20,3,10,0,168,41,19,4,397,26.7,6.5,3.0,0.6,63.1,21,2,1,4,14,9.5,4.8,19.0,66.7,1,1,0,1,0,7,0,6,1,0,0,0,17,0,57,22,1,13,0,21,39,2,23,0,37,0,0,1,0,0.46,0.54,0.26
"初中","语文","初一",75,1448,1360,119,277,0,34,47,2133,311,33,0,1638,289,0,311,277,23,8,0,6,16,65.0,11.5,0,12.3,11.0,72.0,68.5,69.2,0,94.0,70.8,57.5,54.2,61.8,0,70.9,57.7,55.4,59.5,56.3,0,26.9,62.6,26.0,26.4,27.7,0,25.5,22.4,1394,38,119,43,250,78.8,2.3,7.3,2.6,15.3,242,111,900,3,40,22,22,1,45,24,3,6,199,16.2,8.7,1.1,2.2,71.8,6,1,0,2,3,16.7,0.0,33.3,50.0,0,1,0,0,0,1,0,1,0,0,0,0,5,1,78,39,5,8,0,26,50,6,10,0,33,0,0,0,0,0.66,0.34,0.16
"初中","英语","初一",40,1082,740,9,306,0,33,4,2327,104,52,0,1201,899,0,104,306,15,13,0,2,14,47.7,35.7,0,4.1,12.1,75.5,68.5,81.6,0,96.8,78.2,64.9,59.1,75.8,0,40.3,64.3,38.0,39.4,28.5,0,18.3,67.0,27.3,25.5,24.1,0,94.9,21.1,1067,16,9,28,101,88.0,1.3,0.7,2.3,8.4,534,180,1920,3,61,12,18,0,48,36,8,8,206,15.7,11.8,2.6,2.6,67.3,6,3,0,1,2,50.0,0.0,16.7,33.3,0,3,0,0,0,3,0,3,0,0,0,0,5,0,77,46,0,6,1,24,60,0,8,1,31,1,0,1,0,0.54,0.46,0.15
"初中","英语","初一",343,1473,208,0,390,0,34,5,2401,44,49,0,1673,407,0,44,390,18,8,0,2,20,66.4,16.2,0,1.7,15.5,68.5,66.9,73.2,0,92.3,68.0,60.5,61.3,63.4,0,44.2,55.9,36.8,33.4,43.9,0,37.0,43.7,26.1,24.7,25.3,0,72.5,27.7,1442,286,0,46,409,71.0,17.1,0.0,2.8,24.4,497,150,1740,2,104,3,26,1,119,46,3,0,222,30.5,11.8,0.8,0.0,56.9,5,1,4,0,0,20.0,80.0,0.0,0.0,1,0,3,1,0,1,0,1,0,0,0,0,0,0,140,57,7,22,7,47,41,5,16,5,34,0,0,0,0,0.67,0.33,0.2
"初中","英语","初一",27,1395,140,71,526,0,46,150,2350,56,109,0,1699,230,0,56,526,28,6,0,3,26,67.4,9.1,0,2.2,20.9,68.5,70.4,47.7,0,88.0,69.4,47.2,47.1,49.5,0,52.9,46.1,83.3,86.6,53.7,0,98.5,83.9,25.2,21.1,61.6,0,22.6,23.0,1362,15,71,138,219,77.0,0.9,4.2,8.1,12.9,271,90,630,3,75,2,10,0,233,92,8,9,184,44.3,17.5,1.5,1.7,35.0,14,8,3,0,3,57.1,21.4,0.0,21.4,3,5,3,0,0,3,0,3,0,0,0,0,5,0,81,39,7,5,2,28,48,9,6,3,35,0,0,0,0,0.75,0.25,0.26
"初中","数学","初一",716,1231,136,8,529,0,39,8,2153,285,72,0,1459,241,0,285,529,34,4,0,12,27,57.9,9.6,0,11.3,21.0,72.6,71.5,61.2,0,91.4,70.8,55.0,55.0,55.0,0,55.3,54.8,71.3,74.1,49.3,0,69.1,75.1,22.5,20.0,45.5,0,20.2,20.2,1127,435,8,113,454,54.0,29.8,0.5,7.7,31.1,298,154,600,2,41,2,16,1,197,55,17,0,260,37.2,10.4,3.2,0.0,49.1,15,2,5,0,8,13.3,33.3,0.0,53.3,1,1,4,0,1,1,0,1,0,0,0,0,12,0,143,84,6,4,2,47,59,4,3,1,33,0,0,0,0,0.66,0.34,0.26
"初中","数学","初一",24,874,44,0,445,0,39,20,2351,76,79,0,1241,753,0,76,445,16,14,0,3,19,49.2,29.9,0,3.0,17.7,70.2,68.1,72.7,0,92.7,68.0,56.9,53.7,64.5,0,52.2,53.7,70.8,78.4,54.5,0,83.0,75.5,27.0,22.2,36.3,0,29.1,24.1,872,4,0,153,216,70.1,0.3,0.0,12.3,17.4,334,145,960,3,122,0,5,0,167,78,0,1,199,37.5,17.5,0.0,0.2,44.7,11,4,7,0,0,36.4,63.6,0.0,0.0,0,4,4,2,1,1,0,0,1,0,0,0,0,0,146,72,5,18,2,49,49,3,12,1,34,0,0,1,0,0.54,0.46,0.32
"初中","语文","初一",139,1175,336,125,575,0,63,112,2238,124,124,0,1450,361,0,124,575,36,15,0,8,28,57.5,14.3,0,4.9,22.8,70.9,69.4,70.0,0,85.5,71.8,56.5,55.7,60.5,0,67.9,53.6,71.8,73.4,57.8,0,64.4,78.2,24.5,24.6,25.0,0,17.9,25.5,1124,42,125,97,294,69.5,2.9,8.6,6.7,20.3,239,135,480,3,73,5,16,0,183,90,19,15,268,31.8,15.7,3.3,2.6,46.6,15,8,2,1,4,53.3,13.3,6.7,26.7,1,7,0,2,0,3,0,3,0,0,0,0,7,0,94,56,0,6,0,32,60,0,6,0,34,0,0,0,0,0.62,0.38,0.28
"初中","语文","初一",172,872,624,0,198,0,31,4,2208,212,71,0,1070,1034,0,212,198,23,18,0,5,13,42.5,41.0,0,8.4,7.9,75.5,67.6,85.7,0,72.9,67.8,74.1,69.5,82.5,0,54.9,75.2,19.9,26.5,16.3,0,6.8,16.8,24.0,26.2,21.1,0,30.0,20.8,849,108,0,44,239,71.4,10.1,0.0,4.1,22.3,265,180,510,2,57,10,29,0,34,41,22,8,93,17.2,20.7,11.1,4.0,47.0,4,2,1,0,1,50.0,25.0,0.0,25.0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,78,41,6,6,2,23,53,8,8,3,30,1,0,1,0,0.4,0.6,0.21
"初中","数学","初一",496,1028,268,74,559,0,45,80,2272,153,72,0,1187,631,0,153,559,29,7,0,6,22,47.1,25.0,0,6.1,22.2,75.2,71.8,80.4,0,87.0,73.3,59.0,55.3,68.7,0,53.8,57.2,71.9,79.0,49.0,0,62.3,85.2,22.6,22.3,23.7,0,29.6,20.2,957,212,74,48,326,62.5,17.9,6.2,4.0,27.5,313,114,600,3,47,4,10,0,114,58,14,0,373,20.4,10.4,2.5,0.0,66.7,7,1,5,0,1,14.3,71.4,0.0,14.3,1,0,2,0,3,3,0,1,1,1,0,0,3,0,79,44,6,6,0,23,56,8,8,0,29,0,0,1,0,0.55,0.45,0.26
"初中","英语","初一",332,1034,764,4,253,0,16,64,2373,113,22,0,1202,947,0,113,253,28,16,0,4,18,47.7,37.6,0,4.5,10.0,71.5,68.6,73.6,0,88.3,70.0,57.2,52.7,64.4,0,54.9,52.6,58.3,65.9,46.4,0,65.6,63.4,30.5,28.6,33.7,0,26.2,29.4,989,195,4,56,266,69.5,16.2,0.3,4.7,22.1,255,165,480,2,33,12,29,1,98,10,12,0,133,38.7,4.0,4.7,0.0,52.6,10,3,2,0,5,30.0,20.0,0.0,50.0,0,3,2,0,0,1,0,1,0,0,0,0,8,0,64,28,7,5,0,24,44,11,8,0,38,0,0,1,0,0.51,0.49,0.22
"初中","数学","初一",57,513,720,0,496,0,42,108,2184,230,93,0,861,923,0,230,496,25,17,0,4,26,34.2,36.6,0,9.1,19.7,72.6,67.5,75.0,0,91.5,68.1,61.3,60.5,66.4,0,49.0,58.8,40.3,36.2,41.7,0,51.1,40.0,29.9,29.5,27.6,0,40.7,29.7,496,31,0,123,239,56.0,3.6,0.0,14.3,27.8,240,127,510,3,35,12,35,0,178,80,8,5,225,35.9,16.1,1.6,1.0,45.4,12,5,4,1,2,41.7,33.3,8.3,16.7,3,2,3,0,1,4,0,4,0,0,0,0,4,0,59,39,3,1,1,15,66,5,2,2,25,0,0,1,1,0.39,0.61,0.32
"初中","数学","初一",201,972,148,173,598,0,84,0,2399,15,17,0,1063,838,0,15,598,12,6,0,1,9,42.2,33.3,0,0.6,23.7,44.4,68.1,37.6,0,90.3,10.6,35.2,51.4,33.5,0,53.8,8.3,29.4,49.6,19.6,0,47.5,6.6,16.9,24.7,15.8,0,32.3,4.1,898,146,173,39,296,61.4,13.7,16.3,3.7,27.8,280,106,520,2,64,2,17,0,22,15,2,0,559,3.7,2.5,0.3,0.0,93.5,4,3,0,0,1,75.0,0.0,0.0,25.0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,62,43,0,2,0,17,69,0,3,0,27,1,0,1,0,0.43,0.57,0.09
"初中","英语","初一",36,1621,428,56,313,0,39,32,2224,169,74,0,1800,229,0,169,313,18,9,0,3,18,71.4,9.1,0,6.7,12.4,69.0,67.9,63.6,0,91.3,67.0,48.5,47.9,50.6,0,50.9,49.2,72.3,72.4,80.7,0,67.1,67.9,24.8,24.6,20.8,0,37.0,22.5,1605,29,56,42,206,85.3,1.6,3.1,2.3,11.4,238,120,510,2,72,7,22,0,44,44,5,25,195,14.1,14.1,1.6,8.0,62.3,4,3,0,1,0,75.0,0.0,25.0,0.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,95,48,7,4,1,35,51,7,4,1,37,0,0,0,0,0.67,0.33,0.16
"初中","语文","初一",154,1363,1104,37,265,0,39,130,2001,434,47,0,1610,198,0,434,265,33,5,0,14,18,63.9,7.9,0,17.2,10.5,72.9,70.2,54.7,0,92.9,69.7,53.8,53.9,47.2,0,56.9,53.4,63.4,62.7,63.6,0,67.4,60.7,26.2,24.8,40.0,0,26.5,23.9,1328,99,37,56,292,76.2,6.1,2.3,3.5,18.1,242,101,480,3,31,18,16,1,74,40,7,0,144,27.9,15.1,2.6,0.0,54.3,5,2,2,0,1,40.0,40.0,0.0,20.0,1,1,2,0,0,3,0,1,0,1,1,0,2,0,91,36,2,15,0,38,40,2,17,0,42,0,0,0,0,0.6,0.4,0.28
"初中","英语","初一",292,688,544,95,897,0,109,58,2059,176,165,0,875,564,0,176,897,28,7,0,5,24,34.7,22.4,0,7.0,35.6,71.2,68.4,75.1,0,88.7,68.0,57.9,51.1,68.4,0,57.9,57.8,61.1,71.5,45.5,0,75.6,57.8,26.2,25.4,30.4,0,25.5,24.4,553,108,95,50,204,55.4,12.3,10.9,5.7,23.3,479,172,1920,2,38,9,37,0,168,117,12,36,564,18.7,13.0,1.3,4.0,62.9,23,6,3,4,10,26.1,13.0,17.4,43.5,2,4,2,0,1,9,0,6,3,0,0,0,16,1,32,7,4,2,0,19,22,13,6,0,59,1,0,1,0,0.56,0.44,0.23
"初中","数学","初一",741,1153,168,0,535,0,47,0,2057,335,95,0,1343,298,0,335,535,28,4,0,11,28,53.3,11.8,0,13.3,21.2,74.2,73.7,63.5,0,91.2,70.8,57.2,58.2,54.0,0,56.2,57.2,80.5,84.3,72.8,0,70.6,81.4,23.8,21.7,28.6,0,27.6,24.2,1029,502,0,94,474,48.5,37.4,0.0,7.0,35.3,290,180,520,1,35,2,25,0,136,90,1,4,304,25.4,16.8,0.2,0.7,56.8,7,0,3,4,0,0.0,42.9,57.1,0.0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,115,62,3,8,1,41,54,3,7,1,36,0,0,1,0,0.56,0.44,0.22
"初中","英语","初一",16,630,1156,36,676,0,94,20,2203,95,127,0,829,918,0,95,676,25,22,0,2,15,32.9,36.4,0,3.8,26.8,66.2,64.1,65.5,0,94.9,65.7,58.7,55.4,57.5,0,50.2,65.6,36.3,34.0,42.8,0,46.9,28.8,28.1,25.5,34.3,0,25.4,23.4,601,0,36,26,180,71.7,0.0,4.3,3.1,21.7,402,120,1620,3,90,19,25,0,35,118,3,6,514,5.2,17.5,0.4,0.9,76.0,5,2,2,1,0,40.0,40.0,20.0,0.0,0,2,0,1,1,1,0,0,1,0,0,0,0,0,20,7,8,0,0,5,35,40,0,0,25,0,0,1,0,0.48,0.52,0.18
"初中","数学","初一",149,1095,28,169,180,0,11,44,2320,173,14,0,1384,774,0,173,180,21,11,0,4,10,54.9,30.7,0,6.9,7.1,70.7,69.1,68.8,0,94.3,69.3,56.6,53.3,64.5,0,54.9,49.5,62.5,69.4,40.0,0,90.8,78.9,24.5,24.7,24.8,0,21.3,24.3,991,97,169,116,324,60.1,7.0,12.2,8.4,23.4,300,154,900,3,122,0,4,0,67,13,0,1,99,37.2,7.2,0.0,0.6,55.0,3,1,0,0,2,33.3,0.0,0.0,66.7,0,1,0,0,0,0,0,0,0,0,0,0,2,0,97,52,1,9,2,33,54,1,9,2,34,1,0,1,0,0.55,0.45,0.24
"初中","语文","初一",159,859,952,0,413,0,29,52,1940,515,44,0,1093,493,0,515,413,23,7,0,13,25,43.4,19.6,0,20.4,16.4,74.5,71.2,66.7,0,87.4,76.3,58.5,57.6,56.4,0,60.5,61.2,75.3,86.3,73.1,0,49.5,80.6,26.1,24.7,26.8,0,29.4,24.9,841,73,0,60,229,71.9,6.7,0.0,5.5,21.0,254,135,480,3,37,15,32,0,145,28,12,4,224,35.1,6.8,2.9,1.0,54.2,16,7,1,1,7,43.7,6.2,6.2,43.7,2,5,1,0,0,4,0,3,1,0,0,0,10,0,78,44,11,5,3,15,56,14,6,4,19,0,0,1,0,0.45,0.55,0.26
"初中","英语","初一",0,541,1000,0,19,0,5,16,2341,161,8,0,706,1628,0,161,19,8,7,0,2,2,28.0,64.6,0,6.4,0.8,76.4,66.0,83.0,0,54.9,71.1,66.6,58.5,73.6,0,31.7,65.4,32.4,38.8,30.3,0,24.4,39.7,25.3,27.4,24.0,0,29.1,24.7,541,0,0,34,131,76.6,0.0,0.0,4.8,18.6,398,128,1680,3,55,16,19,0,5,7,1,0,6,26.3,36.8,5.3,0.0,31.6,1,0,0,0,1,0.0,0.0,0.0,100.0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,34,15,0,0,0,19,44,0,0,0,56,1,0,0,0,0.24,0.76,0.11
"初中","英语","初一",148,832,96,0,719,0,117,52,2116,158,161,0,1109,528,0,158,719,24,14,0,4,25,44.0,21.0,0,6.3,28.5,66.6,68.6,62.9,0,74.6,64.4,55.5,57.2,57.7,0,46.0,53.4,69.4,74.3,80.1,0,29.6,62.9,26.1,25.7,25.4,0,41.5,23.8,794,77,0,115,201,68.1,6.9,0.0,10.4,18.1,591,197,1860,3,45,1,14,1,256,112,15,34,302,35.6,15.6,2.1,4.7,42.0,23,7,6,5,5,30.4,26.1,21.7,21.7,2,5,2,0,4,10,0,6,3,1,0,0,12,0,73,28,6,5,0,34,38,8,7,0,47,0,0,1,0,0.53,0.47,0.3
"初中","语文","初一",165,1271,956,79,384,0,65,16,1987,389,98,0,1543,214,0,389,384,27,6,0,17,20,61.2,8.5,0,15.4,15.2,71.3,70.5,34.8,0,93.2,72.7,54.9,55.8,47.0,0,54.8,55.4,71.4,76.8,25.6,0,72.4,74.3,27.1,22.7,40.4,0,36.7,27.4,1190,80,79,76,274,72.1,5.2,5.1,4.9,17.8,264,115,510,3,43,15,31,1,105,68,27,3,181,27.3,17.7,7.0,0.8,47.1,15,4,4,2,5,26.7,26.7,13.3,33.3,0,4,2,0,2,1,0,1,0,0,0,0,12,1,85,37,1,11,2,34,44,1,13,2,40,0,0,1,0,0.59,0.41,0.26
"初中","英语","初一",283,1355,120,181,455,0,80,60,1996,286,152,0,1606,167,0,286,455,27,6,0,9,20,63.7,6.6,0,11.3,18.1,71.1,72.0,76.6,0,55.9,75.5,56.4,58.0,68.0,0,39.4,57.3,68.7,73.9,46.8,0,42.9,74.3,24.4,25.2,24.6,0,21.0,23.9,1252,222,181,84,459,59.3,13.8,11.3,5.2,28.6,434,120,1560,2,83,2,11,1,68,138,3,11,235,14.9,30.3,0.7,2.4,51.6,12,3,3,4,2,25.0,25.0,33.3,16.7,0,3,2,0,1,4,0,3,1,0,0,0,4,0,59,24,1,2,0,32,41,2,3,0,54,0,0,0,0,0.64,0.36,0.24
"初中","数学","初一",397,972,212,5,363,0,39,152,2279,154,51,0,1094,903,0,154,363,30,16,0,8,22,43.4,35.8,0,6.1,14.4,67.5,68.2,62.8,0,89.2,68.2,51.4,50.0,54.6,0,50.0,48.6,67.7,71.1,60.3,0,81.3,70.1,30.0,27.9,34.3,0,26.9,26.6,946,169,5,23,247,72.9,15.4,0.5,2.1,22.6,303,223,540,3,58,3,13,0,81,36,15,0,231,22.3,9.9,4.1,0.0,63.6,9,2,3,0,4,22.2,33.3,0.0,44.4,0,2,2,0,1,7,0,2,4,1,0,0,8,0,71,34,4,7,0,26,48,6,10,0,37,0,0,1,0,0.43,0.57,0.18
"初中","语文","初一",84,905,128,80,168,0,26,28,1643,806,48,0,1072,466,0,806,168,23,7,0,13,13,42.5,18.5,0,32.0,6.7,76.5,70.8,64.5,0,91.7,72.7,56.3,56.3,57.8,0,55.0,57.6,58.0,65.0,55.3,0,48.6,65.4,29.3,28.8,28.4,0,31.4,25.0,862,50,80,37,217,72.3,4.7,7.5,3.5,20.2,286,154,600,2,64,2,11,1,36,37,3,8,84,21.4,22.0,1.8,4.8,50.0,6,2,1,1,2,33.3,16.7,16.7,33.3,1,1,1,0,0,0,0,0,0,0,0,0,3,0,64,34,11,1,0,18,53,17,2,0,28,1,0,1,0,0.4,0.6,0.16
"初中","数学","初一",337,1086,424,72,175,0,41,36,2402,61,16,0,1243,1039,0,61,175,12,12,0,1,11,49.3,41.2,0,2.4,6.9,68.9,67.4,75.8,0,14.1,56.7,58.6,53.9,67.2,0,46.1,45.7,49.1,56.5,44.2,0,0.2,42.6,29.5,29.0,30.8,0,15.1,29.9,1049,199,72,36,355,65.6,16.0,5.8,2.9,28.6,286,125,900,3,54,7,14,0,31,13,3,0,128,17.7,7.4,1.7,0.0,73.1,2,1,0,1,0,50.0,0.0,50.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,60,23,4,4,1,28,38,7,7,2,47,1,0,1,0,0.46,0.54,0.11
"初中","数学","初一",220,784,200,23,825,0,142,0,1957,310,124,0,979,400,0,310,825,19,2,0,9,22,38.8,15.9,0,12.3,32.7,54.3,69.2,1.8,0,92.2,47.9,41.7,53.1,13.3,0,54.7,37.1,61.7,86.4,2.1,0,71.9,57.5,15.6,19.1,0.6,0,32.2,12.4,715,127,23,73,203,64.8,13.0,2.3,7.5,20.7,284,142,570,3,50,3,10,1,99,101,23,0,602,12.0,12.2,2.8,0.0,73.0,12,2,0,0,10,16.7,0.0,0.0,83.3,1,1,0,0,0,2,0,2,0,0,0,0,12,0,58,20,8,4,4,22,35,14,7,7,38,1,0,1,0,0.42,0.58,0.17
"初中","英语","初一",167,536,288,80,1044,0,221,40,1823,111,391,0,701,654,0,111,1044,20,9,0,3,25,27.8,26.0,0,4.4,41.4,72.1,69.9,79.6,0,95.5,66.3,61.5,52.4,73.9,0,52.3,60.8,57.8,84.2,39.0,0,53.9,52.2,26.4,26.1,29.5,0,37.0,23.5,449,98,80,69,185,51.2,14.0,11.4,9.8,26.4,548,216,1440,1,49,4,25,0,131,300,83,8,522,12.5,28.7,8.0,0.8,50.0,20,4,5,3,8,20.0,25.0,15.0,40.0,2,2,3,0,2,8,0,4,4,0,0,0,14,1,37,16,0,1,0,20,43,0,3,0,54,0,0,0,0,0.32,0.68,0.22
"初中","语文","初一",0,790,456,220,782,0,132,8,1801,235,353,0,878,623,0,235,782,14,7,0,6,10,34.8,24.7,0,9.3,31.0,76.5,70.5,84.6,0,85.0,74.4,61.6,55.5,74.0,0,56.1,60.1,46.6,59.0,32.2,0,28.0,49.6,22.5,22.9,21.8,0,38.5,17.8,691,0,220,19,190,64.9,0.0,25.1,2.2,21.6,323,192,960,3,51,7,19,0,11,332,10,11,418,1.4,42.5,1.3,1.4,53.5,3,0,2,1,0,0.0,66.7,33.3,0.0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,77,43,11,2,0,21,56,14,3,0,27,0,0,1,0,0.5,0.5,0.21
